hash	info_freq	info_long	info_complex	info_deal_complex	id	part	confidence	answer	correct	correctValue	time
af4e28356db36dad9b54d22db29f935e	1	3	2	2	975	sim	3	a	a	sin(x + 3.14) + 7	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	449	sim	4	b	b	15.0	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	229	sim	4	d	d	-1.0	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	808	sim	2	c	c	(x^0.5 + 2)^0.5	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	864	dec	3	d	d	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span>	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	965	dec	2	b	b	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span> but not always defined	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	233	dec	3	b	b	The function is never negative	556251
af4e28356db36dad9b54d22db29f935e	1	3	2	2	811	dec	2	d	b	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span>	556251
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	551	sim	3	b	d	-50.11	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	984	sim	4	b	b	6*cos(x - 1.57) + 5	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	282	sim	1	c	b	0.11	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	133	sim	1	c	d	2541.76	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	572	dec	1	c	d	The function is never negative	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	411	dec	1	a	a	The function is defined on the whole interval	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	698	dec	2	b	c	The function is never negative	170367
8afceae5d224126bd2e4d17536ef0d45	3	4	1	2	303	dec	2	c	c	The function is defined on the whole interval	170367
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	821	sim	4	c	c	x + 3	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	336	sim	3	b	c	0.07	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	151	sim	3	a	a	3.52	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	872	sim	4	b	b	sin(x - 1.57)	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	262	dec	2	c	c	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span>	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	494	dec	2	b	b	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span>	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	810	dec	4	b	b	The function is defined on the whole interval	561586
a54204ed3cfc3bc1586b096399b51c06	2	3	2	2	775	dec	2	c	d	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span> but not always defined	561586
bee477586ffded644350772d89fff8e7	2	3	2	2	531	sim	3	d	a	-0.01	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	972	sim	4	a	a	60.9	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	741	sim	4	c	c	1.0	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	616	sim	4	a	a	1.0	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	634	dec	4	b	b	The function is never negative	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	712	dec	3	c	c	The function is never negative	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	255	dec	3	c	c	The function is defined on the whole interval	419457
bee477586ffded644350772d89fff8e7	2	3	2	2	991	dec	4	b	d	The function is never negative	419457
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	77	sim	4	b	b	5.96	672251
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	997	sim	4	c	c	sin(3.14*x)/cos(3.14*x)	672251
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	253	sim	3	d	d	8.76	672251
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	624	sim	4	a	a	9.0	672251
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	509	dec	4	c	c	The function is defined on the whole interval	672251
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	312	dec	3	a	a	The function is <span class="_tooltip">bounded<span class="_tooltiptext">In mathematics, a function f defined on some set X with real or complex values is called bounded if the set of its values is bounded. In other words, there exists a real number M such that |f(x)|≤M for all x in X.</span></span> but not always defined	672251
fbffb27f38cdef792269745a077e0ab0	3	4	2	2	420	dec	4	d	d	The function is negative at some point	672251
